second,Volt
2.25E-03,9.65E-01
2.25E-03,9.65E-01
2.25E-03,9.65E-01
2.26E-03,9.65E-01
2.26E-03,9.65E-01
2.26E-03,9.65E-01
2.26E-03,9.65E-01
2.27E-03,9.65E-01
2.27E-03,9.65E-01
2.27E-03,9.25E-01
2.27E-03,9.25E-01
2.28E-03,9.25E-01
2.28E-03,9.25E-01
2.28E-03,9.25E-01
2.28E-03,9.65E-01
2.29E-03,9.25E-01
2.29E-03,9.25E-01
2.29E-03,9.25E-01
2.29E-03,9.25E-01
2.30E-03,9.25E-01
2.30E-03,9.25E-01
2.30E-03,9.25E-01
2.31E-03,8.84E-01
2.31E-03,9.25E-01
2.31E-03,8.84E-01
2.31E-03,8.84E-01
2.32E-03,8.84E-01
2.32E-03,8.84E-01
2.32E-03,8.84E-01
2.32E-03,8.44E-01
2.33E-03,8.44E-01
2.33E-03,8.44E-01
2.33E-03,8.44E-01
2.33E-03,8.04E-01
2.34E-03,8.04E-01
2.34E-03,8.04E-01
2.34E-03,8.04E-01
2.34E-03,8.04E-01
2.35E-03,8.04E-01
2.35E-03,7.64E-01
2.35E-03,7.64E-01
2.35E-03,7.24E-01
2.36E-03,7.24E-01
2.36E-03,7.24E-01
2.36E-03,7.24E-01
2.36E-03,7.24E-01
2.37E-03,6.83E-01
2.37E-03,6.83E-01
2.37E-03,6.83E-01
2.37E-03,6.43E-01
2.38E-03,6.83E-01
2.38E-03,6.43E-01
2.38E-03,6.43E-01
2.38E-03,6.03E-01
2.39E-03,6.03E-01
2.39E-03,6.03E-01
2.39E-03,6.03E-01
2.39E-03,5.63E-01
2.40E-03,5.63E-01
2.40E-03,5.23E-01
2.40E-03,5.23E-01
2.40E-03,5.23E-01
2.41E-03,5.23E-01
2.41E-03,4.82E-01
2.41E-03,4.82E-01
2.42E-03,4.82E-01
2.42E-03,4.42E-01
2.42E-03,4.42E-01
2.42E-03,4.42E-01
2.43E-03,4.02E-01
2.43E-03,4.02E-01
2.43E-03,3.62E-01
2.43E-03,3.62E-01
2.44E-03,3.62E-01
2.44E-03,3.22E-01
2.44E-03,3.22E-01
2.44E-03,2.81E-01
2.45E-03,3.22E-01
2.45E-03,2.81E-01
2.45E-03,2.41E-01
2.45E-03,2.41E-01
2.46E-03,2.01E-01
2.46E-03,2.01E-01
2.46E-03,1.61E-01
2.46E-03,2.01E-01
2.47E-03,1.61E-01
2.47E-03,1.21E-01
2.47E-03,1.21E-01
2.47E-03,1.21E-01
2.48E-03,8.04E-02
2.48E-03,8.04E-02
2.48E-03,8.04E-02
2.48E-03,4.02E-02
2.49E-03,4.02E-02
2.49E-03,4.02E-02
2.49E-03,0.00E+00
2.49E-03,0.00E+00
2.50E-03,0.00E+00
